
04/06/2015

x,y,radio,color
307,48,7,FF0000
449,52,7,FF0000
318,55,7,FF0000
246,91,7,FF0000
299,93,7,FF0000
412,102,7,FF0000
397,117,7,FF0000
381,118,7,FF0000
237,118,7,FF0000
317,118,7,FF0000
296,134,7,FF0000
388,140,7,FF0000
316,147,7,00FF00
318,156,7,FF0000
447,159,7,FF0000
182,159,7,FF0000
106,162,7,FF0000
303,165,7,FF0000
485,190,7,FF0000
349,195,7,FF0000
99,196,7,FF0000
405,197,7,FF0000
382,198,7,FF0000
60,199,7,FF0000
270,205,7,FF0000
255,209,7,00FF00
225,222,7,FF0000
300,225,7,FF0000
330,227,7,FF0000
467,228,7,FF0000
254,228,7,00FF00
413,232,7,FF0000
256,236,7,FF0000
187,253,7,FF0000
159,256,7,FF0000
390,262,7,FF0000
470,264,7,FF0000
445,267,7,FF0000
489,275,7,FF0000
300,288,7,FF0000
133,289,7,FF0000
438,290,7,FF0000
502,305,7,FF0000
447,312,7,FF0000
501,314,7,FF0000
391,314,7,FF0000
83,318,7,FF0000
422,321,7,FF0000
346,329,7,FF0000
127,335,7,FF0000
268,343,7,FF0000
159,354,7,FF0000
332,355,7,FF0000
-1,358,7,FF0000
308,365,7,FF0000
53,368,7,FF0000
269,370,7,FF0000
437,373,7,FF0000
85,381,7,FF0000
362,394,7,FF0000
291,399,7,FF0000
382,399,7,FF0000
243,412,7,FF0000
390,415,7,FF0000
352,424,7,FF0000
267,427,7,FF0000
304,445,7,FF0000
215,450,7,FF0000
318,456,7,FF0000
228,456,7,FF0000
282,460,7,FF0000
93,463,7,FF0000
283,473,7,FF0000
195,486,7,FF0000
335,488,7,FF0000
276,494,7,FF0000
216,502,7,FF0000
